SetId,LogDim
0,3.784189633918261
1,3.367295829986474
2,4.007333185232471
3,2.772588722239781
4,3.7612001156935624
5,2.9444389791664403
6,3.5553480614894135
7,2.3978952727983707
8,2.6390573296152584
9,3.871201010907891
10,3.7376696182833684
11,3.6109179126442243
12,3.6888794541139363
13,2.1972245773362196
14,3.970291913552122
15,1.0986122886681098
16,3.828641396489095
17,3.1354942159291497
18,3.713572066704308
19,3.912023005428146
20,1.0986122886681098
21,3.4339872044851463
22,3.6109179126442243
23,2.5649493574615367
24,3.332204510175204
25,3.784189633918261
26,3.6375861597263857
27,3.4965075614664802
28,3.4011973816621555
29,3.1354942159291497
30,3.044522437723423
31,3.6109179126442243
32,3.044522437723423
33,3.58351893845611
34,3.9318256327243257
35,3.6888794541139363
36,1.3862943611198906
37,2.6390573296152584
38,3.9318256327243257
39,3.4657359027997265
40,3.7376696182833684
41,3.8918202981106265
42,3.4657359027997265
43,3.8066624897703196
44,3.4011973816621555
45,2.6390573296152584
46,2.6390573296152584
47,3.6109179126442243
48,3.4339872044851463
49,3.4965075614664802
50,0.6931471805599453
51,1.3862943611198906
52,2.1972245773362196
53,2.1972245773362196
54,3.367295829986474
55,3.784189633918261
56,2.5649493574615367
57,3.912023005428146
58,3.828641396489095
59,1.6094379124341003
60,3.7376696182833684
61,3.8066624897703196
62,3.9889840465642745
63,3.7612001156935624
64,3.6375861597263857
65,2.833213344056216
66,3.9512437185814275
67,3.7376696182833684
68,3.9512437185814275
69,2.9444389791664403
70,3.367295829986474
71,1.3862943611198906
72,1.0986122886681098
73,1.9459101490553132
74,2.0794415416798357
75,3.5553480614894135
76,4.060443010546419
77,3.8918202981106265
78,3.8918202981106265
79,3.5553480614894135
80,3.9512437185814275
81,3.8918202981106265
82,3.4965075614664802
83,3.4965075614664802
84,3.8501476017100584
85,2.772588722239781
86,2.302585092994046
87,3.970291913552122
88,2.4849066497880004
89,2.1972245773362196
90,2.1972245773362196
91,2.302585092994046
92,1.791759469228055
93,3.9318256327243257
94,2.3978952727983707
95,1.791759469228055
96,3.4011973816621555
97,3.5263605246161616
98,3.9318256327243257
99,1.3862943611198906
100,3.6888794541139363
101,1.3862943611198906
102,2.0794415416798357
103,3.8918202981106265
104,3.970291913552122
105,3.5263605246161616
106,3.6375861597263857
107,3.6888794541139363
108,1.9459101490553132
109,3.367295829986474
110,2.3978952727983707
111,3.4011973816621555
112,3.332204510175204
113,3.8066624897703196
114,3.044522437723423
115,3.6109179126442243
116,2.302585092994046
117,3.6109179126442243
118,3.871201010907891
119,3.8501476017100584
120,2.0794415416798357
121,3.912023005428146
122,3.713572066704308
123,0.0
124,3.091042453358316
125,3.7612001156935624
126,3.4339872044851463
127,2.772588722239781
128,3.6109179126442243
129,0.6931471805599453
130,2.772588722239781
131,3.4657359027997265
132,2.0794415416798357
133,3.4011973816621555
134,3.091042453358316
135,3.8501476017100584
136,3.6888794541139363
137,3.6375861597263857
138,4.007333185232471
139,3.8918202981106265
140,3.784189633918261
141,3.091042453358316
142,3.8066624897703196
143,2.772588722239781
144,3.7376696182833684
145,3.5263605246161616
146,2.5649493574615367
147,3.295836866004329
148,3.1780538303479458
149,3.4339872044851463
150,3.912023005428146
151,3.6109179126442243
152,2.1972245773362196
153,3.5553480614894135
154,1.791759469228055
155,3.7612001156935624
156,3.8918202981106265
157,2.8903717578961645
158,3.912023005428146
159,2.6390573296152584
160,4.0943445622221
161,2.1972245773362196
162,2.4849066497880004
163,0.6931471805599453
164,2.9444389791664403
165,3.7612001156935624
166,2.6390573296152584
167,3.044522437723423
168,3.8501476017100584
169,2.1972245773362196
170,3.091042453358316
171,3.784189633918261
172,2.9444389791664403
173,4.02535169073515
174,3.7612001156935624
175,3.044522437723423
176,3.258096538021482
177,0.0
178,3.784189633918261
179,3.332204510175204
180,3.5263605246161616
181,2.302585092994046
182,4.04305126783455
183,3.9318256327243257
184,3.091042453358316
185,3.295836866004329
186,3.7612001156935624
187,3.6375861597263857
188,3.8918202981106265
189,3.332204510175204
190,2.6390573296152584
191,3.6635616461296463
192,3.8918202981106265
193,3.6635616461296463
194,3.9318256327243257
195,2.1972245773362196
196,3.4339872044851463
197,2.772588722239781
198,2.302585092994046
199,3.58351893845611
